"","n4","Freq"
"1","vested interests vested interests",251
"2","interests vested interests vested",250
"3","the end of the",178
"4","the rest of the",157
"5","at the end of",154
"6","thanks for the follow",150
"7","for the first time",144
"8","at the same time",119
"9","thanks for the rt",109
"10","when it comes to",105
"11","one of the most",100
"12","going to be a",99
"13","is one of the",98
"14","is going to be",97
"15","in the middle of",91
"16","i dont want to",84
"17","to be able to",84
"18","cant wait to see",77
"19","if you want to",77
"20","its going to be",75
"21","thank you so much",69
"22","thank you for the",64
"23","i would like to",63
"24","on the other hand",62
"25","one of the best",62
"26","i cant wait to",57
"27","by the end of",55
"28","i am going to",55
"29","the middle of the",54
"30","one of my favorite",53
"31","was one of the",53
"32","you dont have to",53
"33","as part of the",50
"34","in the united states",50
"35","for the rest of",49
"36","a lot of people",48
"37","in front of the",48
"38","the top of the",48
"39","i was going to",47
"40","on my way to",47
"41","the first time in",47
"42","i dont know if",46
"43","have a lot of",45
"44","i was able to",44
"45","to go to the",44
"46","a little bit of",43
"47","for a long time",43
"48","i thought it was",43
"49","said in a statement",43
"50","have a great day",42
"51","what do you think",42
"52","i just want to",41
"53","a member of the",40
"54","happy mothers day to",40
"55","the bottom of the",39
"56","a bit of a",38
"57","as much as i",38
"58","let me know if",38
"59","i wish i could",37
"60","in the first place",37
"61","thank you for your",37
"62","thought it would be",37
"63","as well as the",36
"64","going to have to",36
"65","i would love to",36
"66","in the first half",36
"67","was going to be",36
"68","i dont know what",35
"69","looking forward to it",35
"70","will be able to",35
"71","are you going to",34
"72","executive director of the",34
"73","hope to see you",34
"74","i have to say",34
"75","if you have a",34
"76","on the way to",34
"77","so much for the",34
"78","we are going to",34
"79","as well as a",33
"80","im not going to",32
"81","the best way to",32
"82","to do with the",32
"83","in the midst of",31
"84","it would be a",31
"85","mothers day to all",31
"86","thanks for the mention",31
"87","thanks so much for",31
"88","the fact that the",31
"89","there are so many",31
"90","as a result of",30
"91","have a great weekend",30
"92","hope you have a",30
"93","i feel like i",30
"94","i look forward to",30
"95","i want to be",30
"96","the name of the",30
"97","turned out to be",30
"98","you so much for",30
"99","a few years ago",29
"100","be one of the",29
"101","i dont know how",29
"102","i dont think i",29
"103","out to be a",29
"104","this is one of",29
"105","to be part of",29
"106","a few weeks ago",28
"107","a lot of the",28
"108","are a lot of",28
"109","at the university of",28
"110","i dont have to",28
"111","in the form of",28
"112","is one of my",28
"113","nothing to do with",28
"114","the back of the",28
"115","when i was a",28
"116","you dont want to",28
"117","at the top of",27
"118","i thought it would",27
"119","i want to go",27
"120","looking forward to seeing",27
"121","me know if you",27
"122","on the other side",27
"123","one of the first",27
"124","the center of the",27
"125","the first half of",27
"126","the new york times",27
"127","there are a lot",27
"128","this is going to",27
"129","trying to figure out",27
"130","in and out of",26
"131","in the first quarter",26
"132","said in an interview",26
"133","should be able to",26
"134","that awkward moment when",26
"135","the first time since",26
"136","to be in the",26
"137","want to go to",26
"138","a chance to win",25
"139","a lot of fun",25
"140","are going to be",25
"141","as one of the",25
"142","contributed to this report",25
"143","do you have a",25
"144","figure out how to",25
"145","had a great time",25
"146","in the block of",25
"147","in the process of",25
"148","looking forward to the",25
"149","to go back to",25
"150","would you like to",25
"151","a couple of weeks",24
"152","a lot of time",24
"153","for the most part",24
"154","going to be the",24
"155","i dont even know",24
"156","i need to get",24
"157","im going to be",24
"158","in new york city",24
"159","in the case of",24
"160","in the second half",24
"161","in the wake of",24
"162","it will be a",24
"163","not going to be",24
"164","of the united states",24
"165","the first time i",24
"166","to do the same",24
"167","to get back to",24
"168","what are you doing",24
"169","at the beginning of",23
"170","dont get me wrong",23
"171","i just wanted to",23
"172","in a way that",23
"173","in the back of",23
"174","most of the time",23
"175","on top of the",23
"176","over and over again",23
"177","thanks for the ff",23
"178","there are a few",23
"179","to get out of",23
"180","to make sure that",23
"181","to take care of",23
"182","we look forward to",23
"183","a lot of work",22
"184","and the rest of",22
"185","at a time when",22
"186","cant wait for the",22
"187","cant wait to hear",22
"188","did you know that",22
"189","do you want to",22
"190","end of the day",22
"191","from am to pm",22
"192","i have no idea",22
"193","i wish i had",22
"194","if you would like",22
"195","im looking forward to",22
"196","is one of those",22
"197","makes me want to",22
"198","out of the way",22
"199","the other side of",22
"200","the start of the",22
"201","there will be a",22
"202","this is the first",22
"203","to be on the",22
"204","you have to be",22
"205","you would like to",22
"206","had a lot of",21
"207","i dont have a",21
"208","i thought i would",21
"209","it was a great",21
"210","over the past few",21
"211","thank you thank you",21
"212","the only way to",21
"213","the side of the",21
"214","there will be no",21
"215","to get to the",21
"216","a great deal of",20
"217","and a lot of",20
"218","as you can see",20
"219","be a part of",20
"220","dont know if i",20
"221","for a couple of",20
"222","have to worry about",20
"223","i am so excited",20
"224","i was in the",20
"225","i was trying to",20
"226","in a long time",20
"227","in one of the",20
"228","in the face of",20
"229","in the first round",20
"230","in the morning and",20
"231","make it to the",20
"232","thanks for the retweet",20
"233","the size of the",20
"234","this is not a",20
"235","to be one of",20
"236","to come up with",20
"237","to the fact that",20
